TE,condition,pvalue,overlap,logp
MT2_Mm.LTR.ERVL,zfp_dux,1.00E-100,1508,100
B1_Mus2.SINE.Alu,zfp_dux,4.08E-06,24,5.388809788
MT2C_Mm.LTR.ERVL,zfp_dux,2.91E-28,23,27.53633989
B1_Mm.SINE.Alu,zfp_dux,3.56E-05,17,4.44850999
RLTR9E.LTR.ERVK,zfp_dux,1.81E-18,15,17.74231765
B1_Mus1.SINE.Alu,zfp_dux,0.594278396,13,0.226010057
RMER6A.LTR.ERVK,zfp_dux,1.72E-05,9,4.763245268
B1_Mur3.SINE.Alu,zfp_dux,0.197750406,5,0.703882617
MT2A.LTR.ERVL,zfp_dux,0.603964749,2,0.218988409
RLTR13B1.LTR.ERVK,zfp_dux,0.247257461,2,0.606850595
RMER6C.LTR.ERVK,zfp_dux,0.594278396,2,0.226010057
RLTR13D6.LTR.ERVK,zfp_dux,0.594278396,1,0.226010057
RMER6D.LTR.ERVK,zfp_dux,1,0,0
RLTR20C2_MM.LTR.ERVK,zfp_dux,1,0,0
RLTR17.LTR.ERVK,zfp_dux,1,0,0
ORR1A0-int.LTR.ERVL?MaLR,zfp_dux,1,0,0
MERVL-int.LTR.ERVL,zfp_dux,1,0,0
B1_Mur4.SINE.Alu,zfp_dux,1,0,0
MT2_Mm.LTR.ERVL,zfp,1.00E-100,1896,100
B1_Mus2.SINE.Alu,zfp,1.00E-100,2150,100
MT2C_Mm.LTR.ERVL,zfp,4.69E-92,89,91.32845654
B1_Mm.SINE.Alu,zfp,1.00E-100,1211,100
RLTR9E.LTR.ERVK,zfp,2.13E-17,25,16.67110411
B1_Mus1.SINE.Alu,zfp,1.00E-100,780,100
RMER6A.LTR.ERVK,zfp,0.0155506,15,1.80825285
B1_Mur3.SINE.Alu,zfp,1.55E-35,83,34.80973275
MT2A.LTR.ERVL,zfp,0.938401703,7,0.027611213
RLTR13B1.LTR.ERVK,zfp,0.77638039,4,0.109925443
RMER6C.LTR.ERVK,zfp,1,4,0
RLTR13D6.LTR.ERVK,zfp,1,2,0
RMER6D.LTR.ERVK,zfp,1,0,0
RLTR20C2_MM.LTR.ERVK,zfp,0.001745608,6,2.758053238
RLTR17.LTR.ERVK,zfp,1,0,0
ORR1A0-int.LTR.ERVL?MaLR,zfp,1,0,0
MERVL-int.LTR.ERVL,zfp,1,0,0
B1_Mur4.SINE.Alu,zfp,4.06E-42,115,41.3918073
MT2_Mm.LTR.ERVL,dux,1.00E-100,1843,100
B1_Mus2.SINE.Alu,dux,1,66,0
MT2C_Mm.LTR.ERVL,dux,1.00E-100,181,100
B1_Mm.SINE.Alu,dux,1,36,0
RLTR9E.LTR.ERVK,dux,1.00E-100,146,100
B1_Mus1.SINE.Alu,dux,1,83,0
RMER6A.LTR.ERVK,dux,1.00E-100,451,100
B1_Mur3.SINE.Alu,dux,0.125854014,33,0.900132928
MT2A.LTR.ERVL,dux,1.41E-23,64,22.85001914
RLTR13B1.LTR.ERVK,dux,1.00E-100,198,100
RMER6C.LTR.ERVK,dux,1.00E-100,307,100
RLTR13D6.LTR.ERVK,dux,1.00E-100,142,100
RMER6D.LTR.ERVK,dux,1.00E-100,115,100
RLTR20C2_MM.LTR.ERVK,dux,1.63E-41,42,40.78868597
RLTR17.LTR.ERVK,dux,1.00E-100,113,100
ORR1A0-int.LTR.ERVL?MaLR,dux,1,0,0
MERVL-int.LTR.ERVL,dux,1,0,0
B1_Mur4.SINE.Alu,dux,1,23,0
