gene,zfp352_0h,zfp352_12h,Dux_0h,Dux_12h,Dux_24h,Dux_36h,Dux_48h,Dux_72h
Arrdc3,43.11902458,75.34210672,11.15749576,30.99848333,33.35929702,15.35176931,11.0181525,5.963534858
Aurka,88.85338676,164.8577589,133.4364188,136.6863482,122.4157652,86.12337977,89.57427005,77.46650676
Bok,5.71350126,13.50180018,10.44977271,16.41427687,12.55237895,10.75812582,6.967101439,3.956120986
Cand1,203.5443855,398.4234348,209.4072724,346.8211647,548.1311771,310.4248319,212.9012595,197.798669
Cul1,74.25933005,152.3132663,36.6500527,74.26834095,44.15773759,35.24182174,37.15331666,39.39501974
Cul5,79.26044519,184.4990755,45.21112986,59.67737973,55.69713748,60.33709389,55.99215624,54.53103168
Ddx58,16.71648501,41.37646683,7.680100072,12.05924387,7.030862584,3.415300394,3.213368829,4.838807413
Dnaja1,109.2109199,235.3865111,193.0547526,238.2866227,151.2167777,105.311169,98.75695379,79.59126546
Dtx3l,7.345170054,16.78491935,3.516495884,4.993710848,2.304438121,2.326845272,2.136843529,1.984441765
Fbxo9,12.61012336,25.48708603,9.054235166,10.96636618,8.064829773,7.299614722,7.654006674,6.032515283
Hspa5,456.2894311,1041.534723,1326.585702,684.9910618,531.5523334,633.5958188,552.7772559,547.4909803
Hspa8,1187.29551,2749.973095,2422.932015,1784.744903,981.3218083,635.6847794,707.3347105,758.3319706
Hspd1,581.3709097,1354.071984,914.4760554,1162.89094,635.3952452,503.2100698,555.3161562,528.7720705
Jade2,14.6825464,31.6191017,3.189387965,9.537622385,7.584223009,12.9289327,9.697297074,6.192246762
Kbtbd6,2.095244271,3.872597163,0.244702526,1.400882333,0.944541319,0.807533689,0.661304319,0.581105188
Keap1,13.2633331,25.64529025,8.105983924,14.35033466,10.58848671,9.199748059,6.428072629,7.045939613
Map1a,21.75999118,46.068047,16.43380163,24.00939382,13.30143954,9.434861804,5.722515273,10.92410748
Mocs3,9.19552161,18.74219992,1.152054848,7.32987325,4.231803608,3.481407912,2.876758359,2.13161297
Nrros,3.215427081,8.171341041,1.419660374,3.624097144,1.898447785,1.377853705,1.47555596,1.569672236
Otud6b,41.319995,95.16722955,47.1956917,72.2613766,52.74406767,38.61293936,36.38097462,36.59990946
Pramel6,0.897849186,2.204301939,0.21646367,0.580471561,0.306265371,0.625567703,0.728980791,0.245674912
Pramel7,1.106662099,4.014846153,0.356814907,0.466554627,0.583989222,0.512735979,0.426833322,0.551470211
Psma2,84.64608676,166.4049053,165.7360195,183.7275941,130.7278503,86.81073697,99.1355546,85.65746152
Rbx1,63.05779211,119.2571052,112.6839807,109.4862688,91.92268447,89.01749402,101.699914,90.42304597
Ripk1,5.428267259,17.36869951,1.251112484,6.553774056,3.089651341,1.75559664,1.531464786,1.916157444
Rmnd5b,63.40745676,133.8733838,36.95617061,54.60686289,50.79165205,52.96631075,48.08602725,48.11634103
Ticam1,2.667938384,5.291255817,1.215536132,2.160725802,1.343174443,1.366657299,0.967880775,1.136016486
Topors,74.4461383,135.2562655,36.95275876,64.32047193,67.20729037,58.41098203,48.30192108,43.36941673
Trim28,1281.612776,2593.803332,984.4045579,1297.557433,939.2151656,745.7401286,728.0035043,799.3969036
Trim43a,1.356234017,4.651349697,0.131852287,0.426788373,1.505106983,0.780449607,0.62287564,0.631022129
Trim6,161.0943495,304.0969491,201.4464592,231.8490388,199.3279688,134.2706339,101.8973913,99.50749057
Tuba1b,651.4414701,1463.303842,647.2448341,1209.951267,530.6338374,405.7718689,451.2184355,420.8076092
Tubb5,1026.908268,1787.18672,1189.593239,1351.739995,880.4517642,627.3758536,668.40229,819.1977414
Ube2l3,84.5342324,149.8008785,61.78001828,79.47997396,63.39626478,57.30617152,60.2918295,46.91573623
Zc3h12a,25.36461395,54.31589866,8.428810847,15.51314193,9.741327897,11.00559745,8.908145421,9.18964203
Zc4h2,4.213339849,9.78416757,5.199369424,8.431571704,4.340166656,3.499860191,3.301211203,2.753352805
